shapes,6,151.6,21,6
voters,5,187.9,21,6
stored,5,177.7,21,6
styles,5,173.2,21,6
tracks,4,216.5,21,6
equity,4,205.9,21,6
escape,4,191.8,21,6
states,4,188.3,21,6
feared,2,273.3,21,6
chairs,22,2.1,20,6
closed,21,0.9,20,6
wonder,16,5.6,20,6
trains,15,11.6,20,6
unfair,14,16.7,20,6
refers,13,32.1,20,6
cinema,13,27.6,20,6
covers,13,23.4,20,6
pursue,12,38.3,20,6
grants,12,36.6,20,6
topics,9,83.1,20,6
earned,9,79.8,20,6
impose,9,78.9,20,6
flying,8,85.8,20,6
beaten,7,111.2,20,6
resort,6,138.8,20,6
launch,6,131.5,20,6
subtle,6,131.3,20,6
desert,6,125.5,20,6
virtue,5,169.7,20,6
random,4,175.9,20,6
